# This document produced by structureHarvester core version vA.2 July 2014
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# File generated at 2019-Mar-13 23:49:05 -05
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	10	-4084.350000	0.126930
2	10	-3819.510000	0.191195
3	10	-3771.470000	0.449815
4	10	-3746.210000	5.817111
5	10	-3737.390000	0.595259
6	10	-3740.690000	0.690330
7	10	-3747.110000	0.896227
8	10	-3748.100000	0.773161
9	10	-3747.460000	0.856608
10	10	-3746.800000	0.713364
11	10	-3745.500000	0.380058
12	10	-3744.730000	0.541705
13	10	-3744.070000	0.740945
14	10	-3743.410000	0.650555
15	10	-3747.700000	15.049843

##########
# File name	Run #	K	Est. Ln prob. of data	Mean value of Ln likelihood	Variance of Ln likelihood
structure_k10-2_f		10	-3747.5	-3572.2	350.5
structure_k10-5_f		10	-3746.5	-3572.3	348.4
structure_k10-4_f		10	-3747.1	-3572.2	350.0
structure_k10-9_f		10	-3746.3	-3572.7	347.2
structure_k10-6_f		10	-3748.0	-3572.3	351.3
structure_k10-1_f		10	-3746.3	-3572.0	348.5
structure_k11-8_f		11	-3745.8	-3571.9	347.8
structure_k11-7_f		11	-3745.7	-3571.8	347.9
structure_k11-4_f		11	-3745.2	-3571.5	347.4
structure_k11-5_f		11	-3745.2	-3571.6	347.1
structure_k11-9_f		11	-3745.7	-3571.8	347.9
structure_k11-2_f		11	-3745.6	-3571.7	347.9
structure_k11-1_f		11	-3745.4	-3571.7	347.5
structure_k11-10_f		11	-3745.7	-3571.9	347.6
structure_k11-6_f		11	-3744.7	-3571.8	345.6
structure_k11-3_f		11	-3746.0	-3571.4	349.1
structure_k12-6_f		12	-3744.2	-3571.2	345.8
structure_k12-3_f		12	-3744.7	-3571.1	347.3
structure_k12-8_f		12	-3744.8	-3571.4	346.8
structure_k12-1_f		12	-3744.3	-3571.0	346.5
structure_k12-5_f		12	-3744.3	-3571.1	346.4
structure_k12-2_f		12	-3745.1	-3571.1	348.0
structure_k12-4_f		12	-3745.6	-3571.3	348.7
structure_k12-7_f		12	-3744.2	-3571.1	346.2
structure_k12-10_f		12	-3744.5	-3571.3	346.4
structure_k12-9_f		12	-3745.6	-3571.4	348.3
structure_k13-6_f		13	-3743.1	-3570.7	344.7
structure_k13-5_f		13	-3744.6	-3571.0	347.1
structure_k13-1_f		13	-3744.9	-3570.8	348.2
structure_k13-4_f		13	-3743.3	-3570.9	344.8
structure_k13-7_f		13	-3743.5	-3571.0	345.0
structure_k13-3_f		13	-3744.2	-3571.2	346.0
structure_k13-8_f		13	-3744.5	-3570.9	347.2
structure_k13-2_f		13	-3744.9	-3570.8	348.3
structure_k13-9_f		13	-3743.1	-3570.6	345.1
structure_k13-10_f		13	-3744.6	-3570.9	347.4
structure_k14-7_f		14	-3743.0	-3570.7	344.7
structure_k14-10_f		14	-3744.2	-3570.6	347.1
structure_k14-8_f		14	-3743.3	-3570.5	345.5
structure_k14-6_f		14	-3742.8	-3570.6	344.3
structure_k14-3_f		14	-3743.0	-3570.4	345.1
structure_k14-5_f		14	-3744.0	-3570.9	346.4
structure_k14-4_f		14	-3744.7	-3570.6	348.3
structure_k14-9_f		14	-3743.1	-3570.6	345.1
structure_k14-1_f		14	-3742.9	-3570.4	345.0
structure_k14-2_f		14	-3743.1	-3570.4	345.5
structure_k15-5_f		15	-3743.5	-3570.5	345.9
structure_k15-9_f		15	-3742.4	-3570.3	344.2
structure_k15-8_f		15	-3743.2	-3570.4	345.7
structure_k15-1_f		15	-3743.6	-3570.0	347.1
structure_k15-4_f		15	-3742.1	-3570.3	343.5
structure_k15-3_f		15	-3742.5	-3570.2	344.6
structure_k15-7_f		15	-3742.6	-3570.1	345.0
structure_k15-10_f		15	-3790.5	-3664.7	251.6
structure_k15-6_f		15	-3743.9	-3570.4	346.9
structure_k15-2_f		15	-3742.7	-3570.0	345.3

Software written by Dent Earl while at EEB Dept, UCLA, BME Dept UCSC
dearl (a) soe ucsc edu
CITATION:
Earl, Dent A. and vonHoldt, Bridgett M. (2012)
STRUCTURE HARVESTER: a website and program for visualizing
STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
Core version: vA.2 July 2014
